brand_name,product_name,list_price,quantity,order_date,required_date,shipped_date,first_name,store_name,state
Electra,Electra Townie Original 21D - 2016,549.99,2,2016-01-04,2016-01-07,2016-01-05,Marcelene,Baldwin Bikes,NY
Electra,Electra Townie Original 7D EQ - Women's - 2016,599.99,1,2016-01-04,2016-01-07,2016-01-05,Marcelene,Baldwin Bikes,NY
Surly,Surly Wednesday Frameset - 2016,999.99,2,2016-01-04,2016-01-07,2016-01-05,Marcelene,Baldwin Bikes,NY
Trek,Trek Conduit+ - 2016,2999.99,2,2016-01-04,2016-01-07,2016-01-05,Marcelene,Baldwin Bikes,NY
Electra,Electra Moto 1 - 2016,529.99,1,2016-01-04,2016-01-07,2016-01-05,Marcelene,Baldwin Bikes,NY
Surly,Surly Wednesday Frameset - 2016,999.99,1,2016-01-04,2016-01-07,2016-01-05,Marcelene,Baldwin Bikes,NY
Pure Cycles,Pure Cycles Vine 8-Speed - 2016,429.00,2,2016-01-04,2016-01-07,2016-01-05,Marcelene,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,2016-01-04,2016-01-05,2016-01-05,Venita,Baldwin Bikes,NY
Electra,Electra Townie Original 7D EQ - Women's - 2016,599.99,2,2016-01-04,2016-01-05,2016-01-05,Venita,Baldwin Bikes,NY
Trek,Trek Slash 8 27.5 - 2016,3999.99,2,2016-01-05,2016-01-08,2016-01-08,Mireya,Santa Cruz Bikes,CA
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,2016-01-05,2016-01-06,2016-01-06,Marcelene,Baldwin Bikes,NY
Trek,Trek Remedy 29 Carbon Frameset - 2016,1799.99,1,2016-01-05,2016-01-08,2016-01-07,Venita,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,2,2016-01-05,2016-01-08,2016-01-07,Venita,Baldwin Bikes,NY
Electra,Electra Townie Original 7D EQ - 2016,599.99,2,2016-01-05,2016-01-08,2016-01-07,Venita,Baldwin Bikes,NY
Trek,Trek Fuel EX 8 29 - 2016,2899.99,2,2016-01-06,2016-01-08,2016-01-09,Mireya,Santa Cruz Bikes,CA
Surly,Surly Straggler 650b - 2016,1680.99,1,2016-01-06,2016-01-08,2016-01-09,Mireya,Santa Cruz Bikes,CA
Electra,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,2016-01-08,2016-01-11,2016-01-11,Marcelene,Baldwin Bikes,NY
Pure Cycles,Pure Cycles Vine 8-Speed - 2016,429.00,2,2016-01-08,2016-01-11,2016-01-11,Marcelene,Baldwin Bikes,NY
Electra,Electra Townie Original 7D EQ - Women's - 2016,599.99,2,2016-01-08,2016-01-11,2016-01-11,Marcelene,Baldwin Bikes,NY
Electra,Electra Townie Original 7D EQ - 2016,599.99,2,2016-01-08,2016-01-11,2016-01-11,Marcelene,Baldwin Bikes,NY
Surly,Surly Ice Cream Truck Frameset - 2016,469.99,1,2016-01-09,2016-01-11,2016-01-12,Genna,Santa Cruz Bikes,CA
Electra,Electra Townie Original 21D - 2016,549.99,2,2016-01-09,2016-01-10,2016-01-12,Venita,Baldwin Bikes,NY
Trek,Trek Remedy 29 Carbon Frameset - 2016,1799.99,1,2016-01-09,2016-01-10,2016-01-12,Venita,Baldwin Bikes,NY
Pure Cycles,Pure Cycles Western 3-Speed - Women's - 2015/2016,449.00,2,2016-01-09,2016-01-10,2016-01-12,Venita,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,299.99,2,2016-01-09,2016-01-10,2016-01-12,Venita,Baldwin Bikes,NY
Trek,Trek Remedy 29 Carbon Frameset - 2016,1799.99,1,2016-01-12,2016-01-15,2016-01-15,Genna,Santa Cruz Bikes,CA
Electra,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,2016-01-12,2016-01-15,2016-01-15,Genna,Santa Cruz Bikes,CA
Electra,Electra Cruiser 1 (24-Inch) - 2016,269.99,2,2016-01-12,2016-01-15,2016-01-15,Genna,Santa Cruz Bikes,CA
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,2016-01-12,2016-01-15,2016-01-15,Genna,Santa Cruz Bikes,CA
Trek,Trek Remedy 29 Carbon Frameset - 2016,1799.99,1,2016-01-12,2016-01-14,2016-01-14,Genna,Santa Cruz Bikes,CA
Electra,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,299.99,1,2016-01-12,2016-01-14,2016-01-14,Genna,Santa Cruz Bikes,CA
Heller,Heller Shagamaw Frame - 2016,1320.99,1,2016-01-12,2016-01-14,2016-01-14,Genna,Santa Cruz Bikes,CA
Electra,Electra Townie Original 7D EQ - Women's - 2016,599.99,2,2016-01-12,2016-01-14,2016-01-14,Genna,Santa Cruz Bikes,CA
Ritchey,Ritchey Timberwolf Frameset - 2016,749.99,2,2016-01-14,2016-01-17,2016-01-15,Genna,Santa Cruz Bikes,CA
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,2016-01-14,2016-01-17,2016-01-15,Genna,Santa Cruz Bikes,CA
Trek,Trek Slash 8 27.5 - 2016,3999.99,1,2016-01-14,2016-01-17,2016-01-15,Genna,Santa Cruz Bikes,CA
Electra,Electra Townie Original 7D - 2015/2016,499.99,2,2016-01-14,2016-01-17,2016-01-15,Genna,Santa Cruz Bikes,CA
Trek,Trek Conduit+ - 2016,2999.99,2,2016-01-14,2016-01-17,2016-01-15,Genna,Santa Cruz Bikes,CA
Surly,Surly Straggler - 2016,1549.00,1,2016-01-14,2016-01-17,2016-01-16,Mireya,Santa Cruz Bikes,CA
Trek,Trek Conduit+ - 2016,2999.99,2,2016-01-14,2016-01-17,2016-01-16,Mireya,Santa Cruz Bikes,CA
Trek,Trek Conduit+ - 2016,2999.99,1,2016-01-14,2016-01-16,2016-01-17,Mireya,Santa Cruz Bikes,CA
Surly,Surly Straggler - 2016,1549.00,2,2016-01-14,2016-01-16,2016-01-17,Mireya,Santa Cruz Bikes,CA
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,2016-01-15,2016-01-16,2016-01-18,Marcelene,Baldwin Bikes,NY
Pure Cycles,Pure Cycles Vine 8-Speed - 2016,429.00,1,2016-01-15,2016-01-16,2016-01-18,Marcelene,Baldwin Bikes,NY
Surly,Surly Straggler - 2016,1549.00,1,2016-01-15,2016-01-16,2016-01-18,Marcelene,Baldwin Bikes,NY
Electra,Electra Moto 1 - 2016,529.99,2,2016-01-16,2016-01-18,2016-01-17,Mireya,Santa Cruz Bikes,CA
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,2016-01-16,2016-01-18,2016-01-17,Mireya,Santa Cruz Bikes,CA
Trek,Trek Fuel EX 8 29 - 2016,2899.99,2,2016-01-16,2016-01-19,2016-01-19,Mireya,Santa Cruz Bikes,CA
Electra,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,299.99,2,2016-01-16,2016-01-19,2016-01-19,Mireya,Santa Cruz Bikes,CA
Electra,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,2016-01-16,2016-01-19,2016-01-19,Mireya,Santa Cruz Bikes,CA
Surly,Surly Wednesday Frameset - 2016,999.99,2,2016-01-18,2016-01-20,2016-01-19,Venita,Baldwin Bikes,NY
Pure Cycles,Pure Cycles Western 3-Speed - Women's - 2015/2016,449.00,2,2016-01-18,2016-01-20,2016-01-19,Venita,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,299.99,2,2016-01-18,2016-01-21,2016-01-21,Marcelene,Baldwin Bikes,NY
Surly,Surly Straggler - 2016,1549.00,2,2016-01-18,2016-01-21,2016-01-21,Marcelene,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,2016-01-18,2016-01-21,2016-01-21,Marcelene,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,2016-01-18,2016-01-21,2016-01-21,Marcelene,Baldwin Bikes,NY
Electra,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,2016-01-18,2016-01-21,2016-01-21,Marcelene,Baldwin Bikes,NY
Trek,Trek Slash 8 27.5 - 2016,3999.99,1,2016-01-18,2016-01-21,2016-01-19,Venita,Baldwin Bikes,NY
Ritchey,Ritchey Timberwolf Frameset - 2016,749.99,1,2016-01-18,2016-01-21,2016-01-19,Venita,Baldwin Bikes,NY
Electra,Electra Townie Original 21D - 2016,549.99,1,2016-01-18,2016-01-21,2016-01-19,Venita,Baldwin Bikes,NY
Electra,Electra Cruiser 1 (24-Inch) - 2016,269.99,2,2016-01-18,2016-01-21,2016-01-19,Venita,Baldwin Bikes,NY
Heller,Heller Shagamaw Frame - 2016,1320.99,1,2016-01-19,2016-01-21,2016-01-20,Venita,Baldwin Bikes,NY
Pure Cycles,Pure Cycles William 3-Speed - 2016,449.00,1,2016-01-19,2016-01-21,2016-01-20,Venita,Baldwin Bikes,NY
Electra,Electra Townie Original 7D EQ - 2016,599.99,2,2016-01-19,2016-01-21,2016-01-20,Venita,Baldwin Bikes,NY
Trek,Trek Remedy 29 Carbon Frameset - 2016,1799.99,1,2016-01-19,2016-01-21,2016-01-20,Venita,Baldwin Bikes,NY
Heller,Heller Shagamaw Frame - 2016,1320.99,1,2016-01-19,2016-01-20,2016-01-21,Marcelene,Baldwin Bikes,NY
Trek,Trek Slash 8 27.5 - 2016,3999.99,2,2016-01-19,2016-01-20,2016-01-21,Marcelene,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,2,2016-01-19,2016-01-20,2016-01-21,Marcelene,Baldwin Bikes,NY
Surly,Surly Ice Cream Truck Frameset - 2016,469.99,1,2016-01-19,2016-01-20,2016-01-21,Marcelene,Baldwin Bikes,NY
Electra,Electra Townie Original 21D - 2016,549.99,2,2016-01-20,2016-01-22,2016-01-21,Marcelene,Baldwin Bikes,NY
Surly,Surly Ice Cream Truck Frameset - 2016,469.99,1,2016-01-20,2016-01-22,2016-01-21,Marcelene,Baldwin Bikes,NY
Electra,Electra Cruiser 1 (24-Inch) - 2016,269.99,2,2016-01-20,2016-01-22,2016-01-21,Marcelene,Baldwin Bikes,NY
Trek,Trek Remedy 29 Carbon Frameset - 2016,1799.99,1,2016-01-20,2016-01-22,2016-01-21,Marcelene,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,2,2016-01-20,2016-01-22,2016-01-21,Marcelene,Baldwin Bikes,NY
Electra,Electra Townie Original 7D EQ - 2016,599.99,1,2016-01-20,2016-01-21,2016-01-21,Marcelene,Baldwin Bikes,NY
Pure Cycles,Pure Cycles Vine 8-Speed - 2016,429.00,1,2016-01-20,2016-01-21,2016-01-21,Marcelene,Baldwin Bikes,NY
Pure Cycles,Pure Cycles William 3-Speed - 2016,449.00,1,2016-01-20,2016-01-21,2016-01-21,Marcelene,Baldwin Bikes,NY
Trek,Trek Fuel EX 8 29 - 2016,2899.99,1,2016-01-20,2016-01-21,2016-01-21,Marcelene,Baldwin Bikes,NY
Trek,Trek Slash 8 27.5 - 2016,3999.99,2,2016-01-20,2016-01-21,2016-01-21,Marcelene,Baldwin Bikes,NY
Surly,Surly Straggler 650b - 2016,1680.99,2,2016-01-20,2016-01-22,2016-01-22,Kali,Rowlett Bikes,TX
Trek,Trek Conduit+ - 2016,2999.99,2,2016-01-20,2016-01-22,2016-01-22,Kali,Rowlett Bikes,TX
Trek,Trek Remedy 29 Carbon Frameset - 2016,1799.99,2,2016-01-21,2016-01-24,2016-01-22,Genna,Santa Cruz Bikes,CA
Electra,Electra Townie Original 21D - 2016,549.99,2,2016-01-21,2016-01-24,2016-01-22,Genna,Santa Cruz Bikes,CA
Electra,Electra Townie Original 7D - 2015/2016,499.99,2,2016-01-21,2016-01-24,2016-01-22,Genna,Santa Cruz Bikes,CA
Electra,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,299.99,2,2016-01-21,2016-01-22,2016-01-22,Marcelene,Baldwin Bikes,NY
Trek,Trek Slash 8 27.5 - 2016,3999.99,1,2016-01-21,2016-01-22,2016-01-22,Marcelene,Baldwin Bikes,NY
Trek,Trek Remedy 29 Carbon Frameset - 2016,1799.99,2,2016-01-22,2016-01-25,2016-01-23,Marcelene,Baldwin Bikes,NY
Surly,Surly Straggler - 2016,1549.00,2,2016-01-22,2016-01-25,2016-01-23,Marcelene,Baldwin Bikes,NY
Pure Cycles,Pure Cycles Vine 8-Speed - 2016,429.00,2,2016-01-22,2016-01-25,2016-01-23,Marcelene,Baldwin Bikes,NY
Pure Cycles,Pure Cycles Western 3-Speed - Women's - 2015/2016,449.00,1,2016-01-22,2016-01-25,2016-01-24,Venita,Baldwin Bikes,NY
Electra,Electra Townie Original 7D EQ - Women's - 2016,599.99,2,2016-01-22,2016-01-25,2016-01-24,Venita,Baldwin Bikes,NY
Heller,Heller Shagamaw Frame - 2016,1320.99,1,2016-01-22,2016-01-25,2016-01-24,Venita,Baldwin Bikes,NY
Electra,Electra Cruiser 1 (24-Inch) - 2016,269.99,2,2016-01-22,2016-01-25,2016-01-24,Venita,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,2016-01-22,2016-01-25,2016-01-24,Venita,Baldwin Bikes,NY
Trek,Trek Conduit+ - 2016,2999.99,1,2016-01-23,2016-01-24,2016-01-24,Marcelene,Baldwin Bikes,NY
Heller,Heller Shagamaw Frame - 2016,1320.99,1,2016-01-23,2016-01-24,2016-01-24,Marcelene,Baldwin Bikes,NY
Surly,Surly Wednesday Frameset - 2016,999.99,2,2016-01-23,2016-01-24,2016-01-24,Marcelene,Baldwin Bikes,NY
Electra,Electra Townie Original 7D EQ - 2016,599.99,2,2016-01-25,2016-01-28,2016-01-26,Marcelene,Baldwin Bikes,NY
Trek,Trek Slash 8 27.5 - 2016,3999.99,2,2016-01-25,2016-01-27,2016-01-26,Venita,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,299.99,1,2016-01-25,2016-01-27,2016-01-26,Venita,Baldwin Bikes,NY
Electra,Electra Townie Original 7D - 2015/2016,499.99,1,2016-01-25,2016-01-27,2016-01-26,Venita,Baldwin Bikes,NY
Surly,Surly Straggler - 2016,1549.00,2,2016-01-25,2016-01-27,2016-01-26,Venita,Baldwin Bikes,NY
Electra,Electra Townie Original 21D - 2016,549.99,1,2016-01-25,2016-01-27,2016-01-26,Venita,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,2,2016-01-25,2016-01-26,2016-01-26,Venita,Baldwin Bikes,NY
Electra,Electra Townie Original 7D EQ - 2016,599.99,2,2016-01-25,2016-01-26,2016-01-26,Venita,Baldwin Bikes,NY
Surly,Surly Wednesday Frameset - 2016,999.99,2,2016-01-25,2016-01-26,2016-01-26,Venita,Baldwin Bikes,NY
Electra,Electra Moto 1 - 2016,529.99,1,2016-01-25,2016-01-26,2016-01-26,Venita,Baldwin Bikes,NY
Pure Cycles,Pure Cycles Vine 8-Speed - 2016,429.00,1,2016-01-27,2016-01-28,2016-01-29,Genna,Santa Cruz Bikes,CA
Trek,Trek Remedy 29 Carbon Frameset - 2016,1799.99,2,2016-01-27,2016-01-28,2016-01-29,Genna,Santa Cruz Bikes,CA
Heller,Heller Shagamaw Frame - 2016,1320.99,1,2016-01-27,2016-01-30,2016-01-29,Marcelene,Baldwin Bikes,NY
Pure Cycles,Pure Cycles William 3-Speed - 2016,449.00,2,2016-01-27,2016-01-30,2016-01-29,Marcelene,Baldwin Bikes,NY
Electra,Electra Townie Original 7D EQ - 2016,599.99,2,2016-01-27,2016-01-30,2016-01-29,Marcelene,Baldwin Bikes,NY
Pure Cycles,Pure Cycles William 3-Speed - 2016,449.00,1,2016-01-27,2016-01-28,2016-01-30,Venita,Baldwin Bikes,NY
Electra,Electra Cruiser 1 (24-Inch) - 2016,269.99,2,2016-01-27,2016-01-28,2016-01-30,Venita,Baldwin Bikes,NY
Electra,Electra Townie Original 21D - 2016,549.99,2,2016-01-27,2016-01-28,2016-01-30,Venita,Baldwin Bikes,NY
Trek,Trek Slash 8 27.5 - 2016,3999.99,1,2016-01-28,2016-01-31,2016-01-30,Venita,Baldwin Bikes,NY
Electra,Electra Townie Original 7D EQ - 2016,599.99,1,2016-01-28,2016-01-31,2016-01-30,Venita,Baldwin Bikes,NY
Trek,Trek Fuel EX 8 29 - 2016,2899.99,2,2016-01-28,2016-01-31,2016-01-31,Venita,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,2016-01-28,2016-01-31,2016-01-31,Venita,Baldwin Bikes,NY
Electra,Electra Cruiser 1 (24-Inch) - 2016,269.99,2,2016-01-28,2016-01-31,2016-01-31,Venita,Baldwin Bikes,NY
Pure Cycles,Pure Cycles Vine 8-Speed - 2016,429.00,1,2016-01-29,2016-01-31,2016-01-31,Venita,Baldwin Bikes,NY
Surly,Surly Ice Cream Truck Frameset - 2016,469.99,1,2016-01-29,2016-01-30,2016-01-31,Venita,Baldwin Bikes,NY
Electra,Electra Moto 1 - 2016,529.99,1,2016-01-29,2016-01-30,2016-01-31,Venita,Baldwin Bikes,NY
Electra,Electra Townie Original 7D - 2015/2016,499.99,2,2016-01-29,2016-01-30,2016-01-31,Venita,Baldwin Bikes,NY
Electra,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,2016-01-29,2016-01-30,2016-01-31,Venita,Baldwin Bikes,NY
Surly,Surly Straggler 650b - 2016,1680.99,1,2016-01-30,2016-02-01,2016-02-02,Venita,Baldwin Bikes,NY
Trek,Trek Fuel EX 8 29 - 2016,2899.99,1,2016-01-30,2016-02-01,2016-02-02,Venita,Baldwin Bikes,NY
Heller,Heller Shagamaw Frame - 2016,1320.99,2,2016-01-30,2016-02-01,2016-02-02,Venita,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,2,2016-01-30,2016-02-01,2016-02-02,Venita,Baldwin Bikes,NY
Electra,Electra Cruiser 1 (24-Inch) - 2016,269.99,2,2016-01-31,2016-02-01,2016-02-02,Marcelene,Baldwin Bikes,NY
Surly,Surly Wednesday Frameset - 2016,999.99,1,2016-01-31,2016-02-03,2016-02-02,Kali,Rowlett Bikes,TX
Electra,Electra Townie Original 7D EQ - 2016,599.99,2,2016-01-31,2016-02-03,2016-02-02,Kali,Rowlett Bikes,TX
Electra,Electra Cruiser 1 (24-Inch) - 2016,269.99,2,2016-01-31,2016-02-03,2016-02-02,Kali,Rowlett Bikes,TX
Electra,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,2016-02-01,2016-02-02,2016-02-03,Venita,Baldwin Bikes,NY
Electra,Electra Townie Original 7D EQ - Women's - 2016,599.99,1,2016-02-01,2016-02-02,2016-02-03,Venita,Baldwin Bikes,NY
Electra,Electra Townie Original 7D EQ - 2016,599.99,2,2016-02-01,2016-02-02,2016-02-03,Venita,Baldwin Bikes,NY
Electra,Electra Townie Original 7D - 2015/2016,499.99,1,2016-02-03,2016-02-04,2016-02-05,Mireya,Santa Cruz Bikes,CA
Trek,Trek Remedy 29 Carbon Frameset - 2016,1799.99,2,2016-02-03,2016-02-04,2016-02-05,Marcelene,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,299.99,2,2016-02-03,2016-02-04,2016-02-05,Marcelene,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,2,2016-02-03,2016-02-04,2016-02-05,Marcelene,Baldwin Bikes,NY
Electra,Electra Townie Original 7D - 2015/2016,499.99,2,2016-02-03,2016-02-04,2016-02-05,Marcelene,Baldwin Bikes,NY
Electra,Electra Townie Original 7D EQ - 2016,599.99,2,2016-02-04,2016-02-07,2016-02-07,Venita,Baldwin Bikes,NY
Surly,Surly Wednesday Frameset - 2016,999.99,1,2016-02-04,2016-02-07,2016-02-07,Venita,Baldwin Bikes,NY
Electra,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,2016-02-04,2016-02-07,2016-02-06,Marcelene,Baldwin Bikes,NY
Electra,Electra Townie Original 7D - 2015/2016,499.99,2,2016-02-04,2016-02-07,2016-02-06,Marcelene,Baldwin Bikes,NY
Electra,Electra Moto 1 - 2016,529.99,2,2016-02-04,2016-02-07,2016-02-06,Marcelene,Baldwin Bikes,NY
Electra,Electra Townie Original 7D EQ - Women's - 2016,599.99,2,2016-02-04,2016-02-06,2016-02-07,Marcelene,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,299.99,2,2016-02-04,2016-02-06,2016-02-06,Venita,Baldwin Bikes,NY
Pure Cycles,Pure Cycles William 3-Speed - 2016,449.00,2,2016-02-04,2016-02-06,2016-02-06,Venita,Baldwin Bikes,NY
Electra,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,2016-02-04,2016-02-06,2016-02-06,Venita,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,2,2016-02-05,2016-02-07,2016-02-07,Marcelene,Baldwin Bikes,NY
Pure Cycles,Pure Cycles Western 3-Speed - Women's - 2015/2016,449.00,1,2016-02-05,2016-02-07,2016-02-07,Marcelene,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,299.99,1,2016-02-05,2016-02-07,2016-02-07,Marcelene,Baldwin Bikes,NY
Electra,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,2016-02-05,2016-02-07,2016-02-06,Venita,Baldwin Bikes,NY
Ritchey,Ritchey Timberwolf Frameset - 2016,749.99,1,2016-02-05,2016-02-07,2016-02-06,Venita,Baldwin Bikes,NY
Pure Cycles,Pure Cycles Vine 8-Speed - 2016,429.00,2,2016-02-05,2016-02-07,2016-02-06,Venita,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,2,2016-02-06,2016-02-08,2016-02-07,Genna,Santa Cruz Bikes,CA
Trek,Trek Fuel EX 8 29 - 2016,2899.99,1,2016-02-06,2016-02-08,2016-02-07,Genna,Santa Cruz Bikes,CA
Electra,Electra Moto 1 - 2016,529.99,1,2016-02-06,2016-02-08,2016-02-07,Genna,Santa Cruz Bikes,CA
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,2016-02-06,2016-02-08,2016-02-07,Genna,Santa Cruz Bikes,CA
Electra,Electra Townie Original 7D - 2015/2016,499.99,1,2016-02-06,2016-02-09,2016-02-09,Venita,Baldwin Bikes,NY
Electra,Electra Moto 1 - 2016,529.99,2,2016-02-06,2016-02-09,2016-02-09,Venita,Baldwin Bikes,NY
Heller,Heller Shagamaw Frame - 2016,1320.99,2,2016-02-06,2016-02-09,2016-02-09,Venita,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,1,2016-02-07,2016-02-10,2016-02-10,Mireya,Santa Cruz Bikes,CA
Trek,Trek Remedy 29 Carbon Frameset - 2016,1799.99,2,2016-02-07,2016-02-10,2016-02-10,Mireya,Santa Cruz Bikes,CA
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,2,2016-02-07,2016-02-10,2016-02-10,Mireya,Santa Cruz Bikes,CA
Electra,Electra Townie Original 7D - 2015/2016,499.99,2,2016-02-07,2016-02-09,2016-02-09,Venita,Baldwin Bikes,NY
Pure Cycles,Pure Cycles William 3-Speed - 2016,449.00,2,2016-02-07,2016-02-09,2016-02-09,Venita,Baldwin Bikes,NY
Surly,Surly Wednesday Frameset - 2016,999.99,1,2016-02-07,2016-02-09,2016-02-09,Venita,Baldwin Bikes,NY
Electra,Electra Townie Original 7D - 2015/2016,499.99,2,2016-02-07,2016-02-08,2016-02-09,Marcelene,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,269.99,2,2016-02-07,2016-02-08,2016-02-09,Marcelene,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,299.99,2,2016-02-07,2016-02-08,2016-02-09,Marcelene,Baldwin Bikes,NY
Electra,Electra Townie Original 21D - 2016,549.99,2,2016-02-07,2016-02-08,2016-02-09,Marcelene,Baldwin Bikes,NY
Electra,Electra Townie Original 21D - 2016,549.99,1,2016-02-08,2016-02-09,2016-02-11,Marcelene,Baldwin Bikes,NY
Ritchey,Ritchey Timberwolf Frameset - 2016,749.99,1,2016-02-09,2016-02-12,2016-02-12,Venita,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,299.99,1,2016-02-09,2016-02-12,2016-02-12,Venita,Baldwin Bikes,NY
Electra,Electra Townie Original 21D - 2016,549.99,1,2016-02-09,2016-02-12,2016-02-12,Venita,Baldwin Bikes,NY
Electra,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,299.99,2,2016-02-09,2016-02-11,2016-02-10,Kali,Rowlett Bikes,TX
Electra,Electra Townie Original 21D - 2016,549.99,2,2016-02-09,2016-02-11,2016-02-10,Kali,Rowlett Bikes,TX
Electra,Electra Cruiser 1 (24-Inch) - 2016,269.99,1,2016-02-09,2016-02-11,2016-02-10,Kali,Rowlett Bikes,TX
Heller,Heller Shagamaw Frame - 2016,1320.99,2,2016-02-09,2016-02-11,2016-02-10,Kali,Rowlett Bikes,TX
Pure Cycles,Pure Cycles William 3-Speed - 2016,449.00,1,2016-02-09,2016-02-11,2016-02-10,Kali,Rowlett Bikes,TX
